Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
BUENOS AIRES,MONTE,20.0,45,24616.0
JUJUY,PALPALA,17.0,45,65522.0
SALTA,GENERAL GUEMES,11.0,45,55746.0
BUENOS AIRES,PUAN,6.0,45,16391.0
SAN JUAN,VALLE FERTIL,2.0,45,8425.0
SAN LUIS,BELGRANO,2.0,45,5575.0
BUENOS AIRES,CARLOS TEJEDOR,1.0,45,14007.0
CHACO,SAN LORENZO,0.0,45,16045.0
BUENOS AIRES,SAAVEDRA,17.0,44,21407.0
CATAMARCA,SANTA ROSA,8.0,44,13317.0
CATAMARCA,POMAN,7.0,44,12219.0
CORRIENTES,SAN MARTIN,7.0,44,15164.0
LA RIOJA,CHAMICAL,2.0,44,15630.0
MENDOZA,TUPUNGATO,128.0,43,41168.0
BUENOS AIRES,COLON,37.0,43,27406.0
SAN LUIS,CHACABUCO,36.0,43,26522.0
TUCUMAN,FAMAILLA,26.0,43,42669.0
SAN LUIS,CORONEL PRINGLES,12.0,43,16044.0
TUCUMAN,TRANCAS,5.0,43,23438.0
SAN JUAN,SANTA LUCIA,42.0,42,62697.0
NEUQUEN,LACAR,33.0,42,39567.0
BUENOS AIRES,GUAMINI,9.0,42,11662.0
CATAMARCA,VALLE VIEJO,9.0,42,33951.0
BUENOS AIRES,GENERAL VIAMONTE,5.0,42,22530.0
BUENOS AIRES,TAPALQUE,3.0,42,10695.0
CATAMARCA,ANCASTI,0.0,42,3282.0
SANTIAGO DEL ESTERO,ATAMISQUI,0.0,42,14894.0
CORDOBA,MINAS,2.0,41,4855.0
ENTRE RIOS,FELICIANO,0.0,41,16717.0
LA RIOJA,GENERAL BELGRANO,0.0,41,7615.0
SANTIAGO DEL ESTERO,GUASAYAN,0.0,41,9251.0
ENTRE RIOS,ISLAS DEL IBICUY,2.0,40,13984.0
SANTA FE,GARAY,7.0,39,24853.0
BUENOS AIRES,ADOLFO GONZALES CHAVES,2.0,39,12847.0
CHACO,GENERAL DONOVAN,2.0,39,15061.0
CORDOBA,POCHO,0.0,39,5070.0
TUCUMAN,TAFI DEL VALLE,0.0,39,22382.0
BUENOS AIRES,GENERAL LAS HERAS,29.0,38,17980.0
BUENOS AIRES,GENERAL BELGRANO,9.0,38,20674.0
RIO NEGRO,SAN ANTONIO,26.0,37,35473.0
SAN JUAN,CALINGASTA,11.0,37,10667.0
BUENOS AIRES,GENERAL LA MADRID,0.0,37,11535.0
BUENOS AIRES,VILLA GESELL,9.0,36,37325.0
LA RIOJA,GENERAL JUAN FACUNDO QUIROGA,0.0,36,4013.0
BUENOS AIRES,BENITO JUAREZ,14.0,35,21185.0
CATAMARCA,PACLIN,1.0,35,4696.0
CHACO,FRAY JUSTO SANTA MARIA DE ORO,1.0,35,10643.0
CATAMARCA,AMBATO,0.0,35,5087.0
BUENOS AIRES,PINAMAR,25.0,34,39224.0
BUENOS AIRES,LEANDRO N. ALEM,18.0,34,17153.0
BUENOS AIRES,GENERAL ARENALES,13.0,34,16231.0
TUCUMAN,LA COCHA,12.0,34,21196.0
RIO NEGRO,25 DE MAYO,8.0,34,16555.0
TUCUMAN,JUAN BAUTISTA ALBERDI,7.0,34,34745.0
CORRIENTES,SAUCE,3.0,34,10382.0
LA RIOJA,FAMATINA,0.0,34,6984.0
SALTA,IRUYA,0.0,34,6116.0
